code,local_name
A001,Ramdana
A002,Ramdana
A003,Bajra
A004,Jau
A005,Jowar
A006,Makka
A007,Makka
A008,Makka
A009,
A010,Ragi
A011,Poha
A012,Muramure
A013,Chawal
A014,
A015,Chawal
A016,Shavan
A017,
A018,Maida
A019,Atta
A020,Gehun
A021,Dalia
A022,
A023,Siwain
A024,Siwain
B001,
B002,
B003,
B004,
B005,Lobia
B006,Lobia
B007,Sem
B008,Sem
B009,Sem
B010,
B011,Mung
B012,Kulthi
B013,
B014,
B015,
B016,Motha
B017,
B018,Rajmah
B019,Rajmah
B020,Rajmah
B021,
B022,
B023,Meth
B024,Bhatmas
B025,Bhatmas
C001,Agasthi
C002,Chaulai
C003,Chaulai
C004,Chaulai
C005,
C006,
C007,Palak
C008,
C009,
C010,
C011,
C012,
C013,
C014,
C015,
C016,
C017,
C018,
C019,
C020,
C021,
C022,Pitwa
C023,Pitwa
C024,
C025,
C026,
C027,
C028,
C029,
C030,
C031,
C032,
C033,Palak
C034,
D001,Petha
D002,Baans
D003,Sem
D004,Karela
D005,Karela
D006,Karela
D007,Lowki
D008,Lowki
D009,Lowki
D010,Baingan
D011,Baingan
D012,Baingan
D013,Baingan
D014,Baingan
D015,Baingan
D016,Baingan
D017,Baingan
D018,Baingan
D019,Baingan
D020,Baingan
D021,Baingan
D022,Baingan
D023,Baingan
D024,Baingan
D025,Baingan
D026,Baingan
D027,Baingan
D028,Baingan
D029,Baingan
D030,Baingan
D031,Baingan
D032,Bakla
D033,
D034,
D035,
D036,
D037,Ajmud
D038,
D039,
D040,
D041,
D042,
D043,
D044,
D045,Kakadi
D046,
D047,Sem
D048,Sem
D049,Bakla
D050,Bakla
D051,Kathal
D052,Kathal
D053,
D054,
D055,
D056,Bhindi
D057,
D058,Pyaz
D059,
D060,Parwal
D061,Matar
D062,
D063,
D064,
D065,Kaddu
D066,Kaddu
D067,
D068,Torai
D069,Torai
D070,Chachinda
D071,Chachinda
D072,Chachinda
D073,Tinda
D074,Tamator
D075,Tamator
D076,Tamator
D077,
D078,
E001,Sev
E002,Sev
E003,Sev
E004,Sev
E005,Khoomani
E006,Khoomani
E007,Makhanphal
E008,Bel
E009,Kela
E010,Kela
E011,Kela
E012,Kela
E013,
E014,Gilas
E015,Munakka
E016,Sharifa
E017,Chuhara
E018,Khajur
E019,Khajur
E020,Anjeer
E021,Amla
E022,Angoor
E023,Angoor
E024,Angoor
E025,Angoor
E026,Angoor
E027,Angoor
E028,Amrud
E029,Amrud
E030,Kathal
E031,Jamun
E032,
E033,Nimbhu
E034,Mosambi
E035,Lichi
E036,
E037,
E038,
E039,
E040,
E041,
E042,
E043,Mangustan
E044,
E045,Kharbooja
E046,Kharbooja
E047,Santra
E048,Tar
E049,Papita
E050,Aroo
E051,Nashpati
E052,Falsa
E053,Ananas
E054,Alubokhara
E055,Anar
E056,Chakotra
E057,Kishmish
E058,Kishmish
E059,
E060,Chiku
E061,
E062,
E063,
E064,Imli
E065,Tarbuj
E066,Tarbuj
E067,Kaith
E068,Ber
F001,Chukandar
F002,Gajar
F003,Gajar
F004,Arwi
F005,
F006,Alu
F007,Alu
F008,Alu
F009,Muli
F010,Muli
F011,Muli
F012,Muli
F013,Shakarkand
F014,Shakarkand
F015,
F016,
F017,Zimikandha
F018,Sooran
F019,Suaralu
G001,
G002,
G003,
G004,
G005,
G006,
G007,
G008,
G009,
G010,Gandhela
G011,Lehsan
G012,Lehsan
G013,Lehsan
G014,Adrak
G015,
G016,Pudina
G017,Pyaz
G018,
G019,Hing
G020,Elaychi
G021,
G022,Mirchi
G023,Lavang
G024,Dhania
G025,Jira
G026,Methi
G027,Avithri
G028,Jaiphal
G029,Ajwan
G030,Pipli
G031,Kalimirchi
G032,Postdana
G033,Haldi
H001,Badam
H002,Supari
H003,Supari
H004,Supari
H005,Kaju
H006,Nariyal
H007,Nariyal
H008,Halim
H009,Til
H010,Til
H011,Til
H012,
H013,Rai
H014,Alsi
H015,
H016,
H017,Chilgoza
H018,Pista
H019,Kardi
H020,
H021,Akhrot
I001,Gud
I002,
J001,
J002,
J003,
J004,
K001,Tarai
K002,
L001,
L002,
L003,Chhena
L004,
M001,
M002,
M003,
M004,
M005,
M006,
M007,
M008,
M009,
M010,
M011,
M012,
M013,
M014,
M015,
N001,
N002,
N003,
N004,
N005,
N006,
N007,
N008,
N009,
N010,
N011,
N012,
N013,
N014,
N015,
N016,
N017,
N018,
N019,
O001,
O002,
O003,
O004,
O005,
O006,
O007,
O008,
O009,
O010,
O011,
O012,
O013,
O014,
O015,
O016,
O017,
O018,
O019,
O020,
O021,
O022,
O023,
O024,
O025,
O026,
O027,
O028,
O029,
O030,
O031,
O032,
O033,
O034,
O035,
O036,
O037,
O038,
O039,
O040,
O041,
O042,
O043,
O044,
O045,
O046,
O047,
O048,
O049,
O050,
O051,
O052,
O053,
O054,
O055,
O056,
O057,
O058,
O059,
O060,
O061,
O062,
O063,
P001,
P002,
P003,
P004,
P005,
P006,
P007,
P008,
P009,
P010,
P011,
P012,
P013,
P014,
P015,
P016,
P017,Hilsa
P018,
P019,
P020,
P021,
P022,
P023,
P024,
P025,
P026,
P027,
P028,
P029,
P030,
P031,
P032,
P033,
P034,
P035,
P036,
P037,
P038,
P039,
P040,
P041,
P042,
P043,
P044,
P045,
P046,
P047,
P048,
P049,
P050,
P051,
P052,
P053,
P054,
P055,
P056,
P057,
P058,
P059,
P060,
P061,
P062,
P063,
P064,
P065,
P066,
P067,
P068,
P069,
P070,
P071,
P072,
P073,
P074,
P075,
P076,
P077,
P078,
P079,
P080,
P081,
P082,
P083,
P084,
P085,
P086,
P087,
P088,
P089,
P090,
P091,
P092,
Q001,
Q002,
Q003,
Q004,
Q005,
Q006,
Q007,
Q008,
R001,
R002,
R003,
R004,
R005,
R006,
R007,
S001,
S002,
S003,
S004,
S005,
S006,
S007,
S008,
S009,
S010,
T001,
T002,
T003,
T004,
T005,
T006,
T007,
T008,
T009,
T010,
T011,
T012,
T013,
T014,
